row.names,value,nme,method,time,od,orig,dest,node
1,0.000000e+00,fddi->fddi,obs,(02/22/99 00:02:43),1,fddi,fddi,
2,9.659259e+01,fddi->switch,obs,(02/22/99 00:02:43),1,fddi,switch,
3,3.982519e+04,fddi->local,obs,(02/22/99 00:02:43),1,fddi,local,
4,2.828283e-01,fddi->corp,obs,(02/22/99 00:02:43),1,fddi,corp,
5,4.373838e+02,switch->fddi,obs,(02/22/99 00:02:43),1,switch,fddi,
6,4.764431e+03,switch->switch,obs,(02/22/99 00:02:43),1,switch,switch,
7,9.653357e+03,switch->local,obs,(02/22/99 00:02:43),1,switch,local,
8,3.620840e+04,switch->corp,obs,(02/22/99 00:02:43),1,switch,corp,
9,3.283227e+04,local->fddi,obs,(02/22/99 00:02:43),1,local,fddi,
10,9.869966e+02,local->switch,obs,(02/22/99 00:02:43),1,local,switch,
11,4.915825e+00,local->local,obs,(02/22/99 00:02:43),1,local,local,
12,1.137266e+03,local->corp,obs,(02/22/99 00:02:43),1,local,corp,
13,5.656566e-01,corp->fddi,obs,(02/22/99 00:02:43),1,corp,fddi,
14,5.068249e+03,corp->switch,obs,(02/22/99 00:02:43),1,corp,switch,
15,3.344781e+02,corp->local,obs,(02/22/99 00:02:43),1,corp,local,
16,0.000000e+00,corp->corp,obs,(02/22/99 00:02:43),1,corp,corp,
17,3.992206e+04,src fddi,obs,(02/22/99 00:02:43),0,fddi,all,fddi
18,5.106358e+04,src switch,obs,(02/22/99 00:02:43),0,switch,all,switch
19,3.496145e+04,src local,obs,(02/22/99 00:02:43),0,local,all,local
20,5.403293e+03,src corp,obs,(02/22/99 00:02:43),0,corp,all,corp
21,3.327022e+04,dst fddi,obs,(02/22/99 00:02:43),0,all,fddi,fddi
22,1.091627e+04,dst switch,obs,(02/22/99 00:02:43),0,all,switch,switch
23,4.981794e+04,dst local,obs,(02/22/99 00:02:43),0,all,local,local
24,3.734595e+04,dst corp,obs,(02/22/99 00:02:43),0,all,corp,corp
25,1.313504e+05,total,obs,(02/22/99 00:02:43),0,all,all,all
51,0.000000e+00,fddi->fddi,obs,(02/22/99 00:07:44),1,fddi,fddi,
52,7.197306e+01,fddi->switch,obs,(02/22/99 00:07:44),1,fddi,switch,
53,4.124149e+04,fddi->local,obs,(02/22/99 00:07:44),1,fddi,local,
54,2.828283e-01,fddi->corp,obs,(02/22/99 00:07:44),1,fddi,corp,
55,6.118519e+01,switch->fddi,obs,(02/22/99 00:07:44),1,switch,fddi,
56,6.294522e+03,switch->switch,obs,(02/22/99 00:07:44),1,switch,switch,
57,2.677865e+04,switch->local,obs,(02/22/99 00:07:44),1,switch,local,
58,3.231267e+04,switch->corp,obs,(02/22/99 00:07:44),1,switch,corp,
59,1.011843e+05,local->fddi,obs,(02/22/99 00:07:44),1,local,fddi,
60,1.138064e+03,local->switch,obs,(02/22/99 00:07:44),1,local,switch,
61,1.116162e+01,local->local,obs,(02/22/99 00:07:44),1,local,local,
62,2.127818e+03,local->corp,obs,(02/22/99 00:07:44),1,local,corp,
63,5.656566e-01,corp->fddi,obs,(02/22/99 00:07:44),1,corp,fddi,
64,6.688734e+03,corp->switch,obs,(02/22/99 00:07:44),1,corp,switch,
65,5.810000e+02,corp->local,obs,(02/22/99 00:07:44),1,corp,local,
66,0.000000e+00,corp->corp,obs,(02/22/99 00:07:44),1,corp,corp,
67,4.131374e+04,src fddi,obs,(02/22/99 00:07:44),0,fddi,all,fddi
68,6.544702e+04,src switch,obs,(02/22/99 00:07:44),0,switch,all,switch
69,1.044613e+05,src local,obs,(02/22/99 00:07:44),0,local,all,local
70,7.270300e+03,src corp,obs,(02/22/99 00:07:44),0,corp,all,corp
71,1.012460e+05,dst fddi,obs,(02/22/99 00:07:44),0,all,fddi,fddi
72,1.419329e+04,dst switch,obs,(02/22/99 00:07:44),0,all,switch,switch
73,6.861230e+04,dst local,obs,(02/22/99 00:07:44),0,all,local,local
74,3.444077e+04,dst corp,obs,(02/22/99 00:07:44),0,all,corp,corp
75,2.184924e+05,total,obs,(02/22/99 00:07:44),0,all,all,all
101,0.000000e+00,fddi->fddi,obs,(02/22/99 00:12:44),1,fddi,fddi,
102,4.293603e+01,fddi->switch,obs,(02/22/99 00:12:44),1,fddi,switch,
103,3.714897e+04,fddi->local,obs,(02/22/99 00:12:44),1,fddi,local,
104,2.828283e-01,fddi->corp,obs,(02/22/99 00:12:44),1,fddi,corp,
105,2.878114e+01,switch->fddi,obs,(02/22/99 00:12:44),1,switch,fddi,
106,2.392350e+03,switch->switch,obs,(02/22/99 00:12:44),1,switch,switch,
107,7.868808e+03,switch->local,obs,(02/22/99 00:12:44),1,switch,local,
108,3.517745e+04,switch->corp,obs,(02/22/99 00:12:44),1,switch,corp,
109,7.841870e+05,local->fddi,obs,(02/22/99 00:12:44),1,local,fddi,
110,9.210774e+02,local->switch,obs,(02/22/99 00:12:44),1,local,switch,
111,4.915825e+00,local->local,obs,(02/22/99 00:12:44),1,local,local,
112,1.568337e+03,local->corp,obs,(02/22/99 00:12:44),1,local,corp,
113,5.656566e-01,corp->fddi,obs,(02/22/99 00:12:44),1,corp,fddi,
114,4.061354e+03,corp->switch,obs,(02/22/99 00:12:44),1,corp,switch,
115,5.824377e+02,corp->local,obs,(02/22/99 00:12:44),1,corp,local,
116,0.000000e+00,corp->corp,obs,(02/22/99 00:12:44),1,corp,corp,
117,3.719219e+04,src fddi,obs,(02/22/99 00:12:44),0,fddi,all,fddi
118,4.546739e+04,src switch,obs,(02/22/99 00:12:44),0,switch,all,switch
119,7.866814e+05,src local,obs,(02/22/99 00:12:44),0,local,all,local
120,4.644357e+03,src corp,obs,(02/22/99 00:12:44),0,corp,all,corp
121,7.842164e+05,dst fddi,obs,(02/22/99 00:12:44),0,all,fddi,fddi
122,7.417717e+03,dst switch,obs,(02/22/99 00:12:44),0,all,switch,switch
123,4.560513e+04,dst local,obs,(02/22/99 00:12:44),0,all,local,local
124,3.674607e+04,dst corp,obs,(02/22/99 00:12:44),0,all,corp,corp
125,8.739853e+05,total,obs,(02/22/99 00:12:44),0,all,all,all
151,0.000000e+00,fddi->fddi,obs,(02/22/99 00:17:43),1,fddi,fddi,
152,1.149697e+02,fddi->switch,obs,(02/22/99 00:17:43),1,fddi,switch,
153,3.874021e+04,fddi->local,obs,(02/22/99 00:17:43),1,fddi,local,
154,2.828283e-01,fddi->corp,obs,(02/22/99 00:17:43),1,fddi,corp,
155,1.051077e+02,switch->fddi,obs,(02/22/99 00:17:43),1,switch,fddi,
156,2.726650e+03,switch->switch,obs,(02/22/99 00:17:43),1,switch,switch,
157,1.114341e+04,switch->local,obs,(02/22/99 00:17:43),1,switch,local,
158,3.374115e+04,switch->corp,obs,(02/22/99 00:17:43),1,switch,corp,
159,8.561794e+05,local->fddi,obs,(02/22/99 00:17:43),1,local,fddi,
160,9.207542e+02,local->switch,obs,(02/22/99 00:17:43),1,local,switch,
161,4.915825e+00,local->local,obs,(02/22/99 00:17:43),1,local,local,
162,1.190700e+03,local->corp,obs,(02/22/99 00:17:43),1,local,corp,
163,5.656566e-01,corp->fddi,obs,(02/22/99 00:17:43),1,corp,fddi,
164,4.227003e+03,corp->switch,obs,(02/22/99 00:17:43),1,corp,switch,
165,6.944310e+02,corp->local,obs,(02/22/99 00:17:43),1,corp,local,
166,0.000000e+00,corp->corp,obs,(02/22/99 00:17:43),1,corp,corp,
167,3.885546e+04,src fddi,obs,(02/22/99 00:17:43),0,fddi,all,fddi
168,4.771632e+04,src switch,obs,(02/22/99 00:17:43),0,switch,all,switch
169,8.582958e+05,src local,obs,(02/22/99 00:17:43),0,local,all,local
170,4.922000e+03,src corp,obs,(02/22/99 00:17:43),0,corp,all,corp
171,8.562851e+05,dst fddi,obs,(02/22/99 00:17:43),0,all,fddi,fddi
172,7.989377e+03,dst switch,obs,(02/22/99 00:17:43),0,all,switch,switch
173,5.058296e+04,dst local,obs,(02/22/99 00:17:43),0,all,local,local
174,3.493214e+04,dst corp,obs,(02/22/99 00:17:43),0,all,corp,corp
175,9.497896e+05,total,obs,(02/22/99 00:17:43),0,all,all,all
201,0.000000e+00,fddi->fddi,obs,(02/22/99 00:22:43),1,fddi,fddi,
202,5.235017e+01,fddi->switch,obs,(02/22/99 00:22:43),1,fddi,switch,
203,4.012527e+04,fddi->local,obs,(02/22/99 00:22:43),1,fddi,local,
204,2.828283e-01,fddi->corp,obs,(02/22/99 00:22:43),1,fddi,corp,
205,3.943434e+01,switch->fddi,obs,(02/22/99 00:22:43),1,switch,fddi,
206,2.484438e+03,switch->switch,obs,(02/22/99 00:22:43),1,switch,switch,
207,1.060402e+04,switch->local,obs,(02/22/99 00:22:43),1,switch,local,
208,3.495211e+04,switch->corp,obs,(02/22/99 00:22:43),1,switch,corp,
209,8.282874e+05,local->fddi,obs,(02/22/99 00:22:43),1,local,fddi,
210,8.469024e+02,local->switch,obs,(02/22/99 00:22:43),1,local,switch,
211,1.116162e+01,local->local,obs,(02/22/99 00:22:43),1,local,local,
212,1.259199e+03,local->corp,obs,(02/22/99 00:22:43),1,local,corp,
213,5.656566e-01,corp->fddi,obs,(02/22/99 00:22:43),1,corp,fddi,
214,4.501337e+03,corp->switch,obs,(02/22/99 00:22:43),1,corp,switch,
215,4.505286e+02,corp->local,obs,(02/22/99 00:22:43),1,corp,local,
216,0.000000e+00,corp->corp,obs,(02/22/99 00:22:43),1,corp,corp,
217,4.017790e+04,src fddi,obs,(02/22/99 00:22:43),0,fddi,all,fddi
218,4.808000e+04,src switch,obs,(02/22/99 00:22:43),0,switch,all,switch
219,8.304047e+05,src local,obs,(02/22/99 00:22:43),0,local,all,local
220,4.952431e+03,src corp,obs,(02/22/99 00:22:43),0,corp,all,corp
221,8.283274e+05,dst fddi,obs,(02/22/99 00:22:43),0,all,fddi,fddi
222,7.885027e+03,dst switch,obs,(02/22/99 00:22:43),0,all,switch,switch
223,5.119098e+04,dst local,obs,(02/22/99 00:22:43),0,all,local,local
224,3.621159e+04,dst corp,obs,(02/22/99 00:22:43),0,all,corp,corp
225,9.236150e+05,total,obs,(02/22/99 00:22:43),0,all,all,all
251,0.000000e+00,fddi->fddi,obs,(02/22/99 00:27:44),1,fddi,fddi,
252,7.947475e+01,fddi->switch,obs,(02/22/99 00:27:44),1,fddi,switch,
253,3.747312e+04,fddi->local,obs,(02/22/99 00:27:44),1,fddi,local,
254,2.828283e-01,fddi->corp,obs,(02/22/99 00:27:44),1,fddi,corp,
255,6.957576e+01,switch->fddi,obs,(02/22/99 00:27:44),1,switch,fddi,
256,2.126040e+03,switch->switch,obs,(02/22/99 00:27:44),1,switch,switch,
257,1.008928e+04,switch->local,obs,(02/22/99 00:27:44),1,switch,local,
258,3.287207e+04,switch->corp,obs,(02/22/99 00:27:44),1,switch,corp,
259,8.044363e+05,local->fddi,obs,(02/22/99 00:27:44),1,local,fddi,
260,9.000000e+02,local->switch,obs,(02/22/99 00:27:44),1,local,switch,
261,4.915825e+00,local->local,obs,(02/22/99 00:27:44),1,local,local,
262,1.494667e+03,local->corp,obs,(02/22/99 00:27:44),1,local,corp,
263,5.656566e-01,corp->fddi,obs,(02/22/99 00:27:44),1,corp,fddi,
264,4.381431e+03,corp->switch,obs,(02/22/99 00:27:44),1,corp,switch,
265,6.188215e+02,corp->local,obs,(02/22/99 00:27:44),1,corp,local,
266,0.000000e+00,corp->corp,obs,(02/22/99 00:27:44),1,corp,corp,
267,3.755288e+04,src fddi,obs,(02/22/99 00:27:44),0,fddi,all,fddi
268,4.515696e+04,src switch,obs,(02/22/99 00:27:44),0,switch,all,switch
269,8.068359e+05,src local,obs,(02/22/99 00:27:44),0,local,all,local
270,5.000818e+03,src corp,obs,(02/22/99 00:27:44),0,corp,all,corp
271,8.045065e+05,dst fddi,obs,(02/22/99 00:27:44),0,all,fddi,fddi
272,7.486946e+03,dst switch,obs,(02/22/99 00:27:44),0,all,switch,switch
273,4.818613e+04,dst local,obs,(02/22/99 00:27:44),0,all,local,local
274,3.436702e+04,dst corp,obs,(02/22/99 00:27:44),0,all,corp,corp
275,8.945465e+05,total,obs,(02/22/99 00:27:44),0,all,all,all
301,0.000000e+00,fddi->fddi,obs,(02/22/99 00:32:44),1,fddi,fddi,
302,6.263636e+01,fddi->switch,obs,(02/22/99 00:32:44),1,fddi,switch,
303,3.723991e+04,fddi->local,obs,(02/22/99 00:32:44),1,fddi,local,
304,2.828283e-01,fddi->corp,obs,(02/22/99 00:32:44),1,fddi,corp,
305,5.215152e+01,switch->fddi,obs,(02/22/99 00:32:44),1,switch,fddi,
306,2.762347e+03,switch->switch,obs,(02/22/99 00:32:44),1,switch,switch,
307,8.427434e+03,switch->local,obs,(02/22/99 00:32:44),1,switch,local,
308,3.465662e+04,switch->corp,obs,(02/22/99 00:32:44),1,switch,corp,
309,5.236975e+05,local->fddi,obs,(02/22/99 00:32:44),1,local,fddi,
310,9.613603e+02,local->switch,obs,(02/22/99 00:32:44),1,local,switch,
311,1.089226e+01,local->local,obs,(02/22/99 00:32:44),1,local,local,
312,1.796495e+03,local->corp,obs,(02/22/99 00:32:44),1,local,corp,
313,5.656566e-01,corp->fddi,obs,(02/22/99 00:32:44),1,corp,fddi,
314,4.398889e+03,corp->switch,obs,(02/22/99 00:32:44),1,corp,switch,
315,3.627104e+02,corp->local,obs,(02/22/99 00:32:44),1,corp,local,
316,0.000000e+00,corp->corp,obs,(02/22/99 00:32:44),1,corp,corp,
317,3.730283e+04,src fddi,obs,(02/22/99 00:32:44),0,fddi,all,fddi
318,4.589855e+04,src switch,obs,(02/22/99 00:32:44),0,switch,all,switch
319,5.264662e+05,src local,obs,(02/22/99 00:32:44),0,local,all,local
320,4.762165e+03,src corp,obs,(02/22/99 00:32:44),0,corp,all,corp
321,5.237502e+05,dst fddi,obs,(02/22/99 00:32:44),0,all,fddi,fddi
