"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
14726.9613333333 2692.345 12956.9093333333 9545.84433333333 9961.52 4365.57 21974.4136666667 14762.0763333333 7513.57766666666 2373.832 13813.154 11260.8863333333 1068.161 1484.523 1073.463 1777.146
20924.134 2719.72533333333 10741.4696666667 6928.41099999999 23793.0223333333 4736.17733333333 24902.3106666667 12015.5096666667 55184.4266666667 5056.17566666667 30766.441 13454.2566666667 1344.417 1681.21166666667 2202.07866666667 2042.59266666667
19431.0010000000 1487.91766666667 8909.013 7364.25833333338 15345.311 2552.73566666667 15165.5596666667 12403.7836666667 748514.91 2725.91933333333 19964.3853333333 15476.1853333333 925.178 651.144333333333 1566.172 1501.86266666667
20101.3159999999 1805.26966666667 9639.06 7309.8143333334 16577.2586666667 1754.93966666667 17317.261 12066.8606666667 818701.742666667 3330.36166666667 22144.646 14119.0496666667 904.782666666667 1098.806 1481.993 1436.41833333333
20964.7363333334 1566.571 10148.005 7498.58766666659 16513.1216666667 2560.07033333333 16755.0396666667 12251.7683333333 789911.351 2708.93366666667 22804.3726666667 14980.0426666667 938.191 1049.452 1483.56266666667 1481.22533333333
19629.847 1444.95733333333 9302.07966666666 7175.99600000001 15098.359 2405.29466666667 16209.79 11443.5163333333 768677.801333333 2487.55933333333 21669.1986666667 14001.3406666667 1100.49266666667 1149.13466666667 1005.06166666667 1746.129
19347.4020000001 1591.90266666667 8987.09266666666 7376.43266666662 15471.8136666667 2724.72833333333 15323.116 12378.892 488048.374333333 2806.40633333333 20291.0746666667 15320.3446666667 882.61 1062.19466666667 1439.66666666667 1377.69366666667
17793.06 1556.827 7607.37233333333 7639.97066666668 18488.159 2710.257 15471.3226666667 14562.4913333333 480442.294666667 2810.355 18744.1443333333 17945.906 975.486333333334 1088.292 1566.79066666667 1560.468
15393.4583333333 6951.71233333333 5765.13966666667 7747.2296666667 33691.741 21803.842 13813.3446666667 26949.5123333333 444822.781666667 25251.8723333333 14885.153 31603.593 20367.019 17177.0833333333 11866.9126666667 19049.225
16424.1903333334 1625.87833333333 7327.05333333333 7797.71799999993 25268.943 2898.67566666667 15718.006 22803.5253333333 501031.739333333 2931.689 17613.881 24824.2906666667 1163.02733333333 1294.262 1811.72966666667 1892.722
16747.0593333334 2192.392 6754.57966666667 8835.43899999994 89095.8113333333 2323.34766666667 16428.5676666667 85965.7733333333 856206.592333333 4032.17533333333 16511.9143333333 89723.218 1934.837 2070.195 2794.76833333333 770.381666666667
14591.1769999999 6225.93833333333 5468.52033333333 7678.23433333344 86946.494 8561.035 14066.7356666667 80849.6353333333 757317.642 16673.5373333333 14170.612 85368.6086666667 11744.387 9829.84933333333 9333.222 7707.59166666667
17796.3706666667 1758.55566666667 7284.449 8454.22466666666 23233.8986666667 3092.47833333333 15352.783 20523.54 612072.063333333 3084.893 18043.7373333333 23893.6063333333 1136.56733333333 1274.911 1825.26066666667 1038.456
14421.4626666668 1584.69633333333 6225.67333333333 6839.77766666659 15234.0596666667 2785.72533333333 12070.7163333333 13923.0786666667 878846.584333333 2879.28633333333 13593.6846666667 17179.1446666667 1092.39333333333 738.056 1629.23566666667 1728.487
14273.3266666666 1636.16533333333 6321.51033333334 6056.49766666672 12837.6543333333 2770.37866666667 11168.726 11703.631 842412.156 2827.284 13658.92 13898.44 867.363 630.691 1360.42366666667 1359.51933333333
13576.5840000000 1803.70466666667 5910.184 6044.79733333329 14667.4756666667 1797.592 11345.3503333333 12710.222 801967.226666667 3218.386 13224.079 15374.4083333333 1028.51366666667 754.687333333333 1561.69666666667 1607.44533333333
14349.4180000000 1578.41566666667 6603.70033333334 6418.97600000003 15692.632 2890.527 13264.732 13239.029 764593.62 2961.356 15441.4176666667 14918.8063333333 790.03 989.634333333333 1323.48 1308.02366666667
14835.7976666667 1326.80433333333 6578.07733333333 6446.31066666663 15300.867 2322.948 13122.3536666667 12927.5513333333 764671.286333333 2457.54366666667 15576.3983333333 16196.7716666667 882.949 977.812 1409.35066666667 1348.20833333333
14399.9203333333 1676.399 6549.13766666667 6388.533 13982.7013333333 2822.40233333333 11890.273 12082.8733333333 49435.264 2931.47266666667 14229.765 14862.0483333333 945.424333333333 1076.864 1446.14433333333 1448.28133333333
11041.5443333333 1957.21 8105.579 8328.44666666667 7425.40266666666 3298.08 14003.9836666667 14873.1636666667 5750.73 3031.62366666667 9784.92 10120.3363333333 1079.613 1319.27833333333 1836.36733333333 1835.42833333333
10673.8556666667 1798.081 7850.82033333333 8261.253 7713.07366666667 3049.31233333333 14771.4923333333 16096.2516666667 5222.64866666667 2708.74566666667 8917.57 9340.51566666667 909.472 1125.056 1539.89733333333 1515.08966666667
11958.5943333333 2067.301 7639.28833333333 8005.07633333333 9418.46066666667 3489.74766666667 16168.0823333333 18385.8293333333 5715.61533333333 3001.70233333333 8689.057 9082.56533333333 1079.32966666667 1280.262 1727.38233333333 1774.406
10097.399 2028.372 7788.992 7380.817 7785.52733333334 3418.182 16989.3553333333 14442.4453333333 4993.303 2974.89533333333 8679.50466666667 8270.367 1083.18066666667 1364.62766666667 1875.468 1846.13466666667
9232.024 9214.10733333333 6300.51266666667 6826.966 6179.735 19647.8926666667 11144.688 12723.1143333333 4516.41366666667 9075.054 7019.93933333333 7395.193 7099.80733333333 74708.146 12896.18 14763.6666666667
17067.3703333333 1701.35266666667 14033.937 8771.11 11726.0333333333 2768.514 31486.1753333333 14138.5673333333 8860.55266666667 2689.103 16394.0126666667 11311.3816666667 732.003666666667 925.616333333333 1023.235 1228.849
17919.552 1445.62433333333 12684.482 8663.05166666666 9267.61733333334 2396.348 16126.2696666667 11715.995 8684.733 2260.26866666667 15265.4873333333 11233.001 720.887666666667 883.621 1229.061 1200.75033333333
14447.637 1811.621 10508.1006666667 9483.29133333333 9579.35733333333 2969.47266666667 17390.7536666667 15471.0163333333 7147.98966666666 2789.77133333333 11665.5686666667 11242.9803333333 738.526 969.165 1225.807 1198.33
17188.3446666667 1489.611 12476.153 8427.12133333333 9294.80866666666 2384.99033333333 16646.3783333333 11608.4126666667 8745.81366666667 2334.785 14771.8483333333 11012.493 751.263 597.593666666667 1272.53033333333 1212.576
15187.4256666667 1862.16233333333 9363.80966666666 8270.89233333333 11012.205 3022.96166666667 16227.786 14112.4573333333 9205.59133333333 2944.969 13171.655 12171.7346666667 1099.538 1277.53 664.309333333333 1781.50866666667
18255.1313333333 1624.89066666667 12945.9363333333 9957.45166666667 10009.5323333333 2536.606 17649.1006666667 13830.481 9007.278 2538.26933333333 15055.4193333333 12469.4933333333 844.418333333333 1002.254 1479.72366666667 1421.126
16466.0393333333 1734.19433333333 11484.583 8014.98333333333 9643.06433333334 2785.62933333333 15870.8173333333 11679.749 8340.015 2722.30833333333 14086.1993333333 11133.5673333333 751.381333333333 984.363 1319.84033333333 1251.90033333333
17599.7473333333 2395.05833333333 12716.2796666667 8538.60466666667 9337.28633333333 3884.56133333333 16571.0003333333 11394.032 8735.46466666666 2206.35733333333 15670.8333333333 11169.7646666667 1207.53166666667 1522.003 1113.56666666667 1888.51166666667
16800.9683333333 1779.93166666667 11754.1773333333 9802.10266666666 10247.585 2813.39866666667 17832.5313333333 14841.615 8623.80833333333 2758.60466666667 13832.759 12210.028 811.908333333333 1030.132 1360.07233333333 1364.35833333333
19449.8873333333 1736.19333333333 15744.3256666667 8224.54366666666 8417.89566666667 2647.02266666667 15739.914 9976.16766666667 8759.11866666666 2685.85433333333 16187.419 10529.448 704.858333333333 911.629666666667 1204.96133333333 1144.52366666667
17970.4206666667 1595.35333333333 12349.8693333333 10194.4166666667 10091.1786666667 2656.95066666667 17409.043 13908.0776666667 8397.042 2659.66566666667 14403.4633333333 12684.249 810.428666666667 605.003333333333 1378.48433333333 1352.44066666667
17576.377 1730.082 29106.5643333333 11409.1566666667 8444.19933333333 2660.383 18673.2536666667 13071.044 7121.84766666666 2540.41566666667 14417.5223333333 10730.0543333333 814.036 993.829333333333 1458.98966666667 1394.519
11293.0926666667 2265.11633333333 6960.85533333333 7914.92566666668 8657.82166666667 3826.152 14028.7666666667 18599.1696666667 5736.21333333333 3317.414 8795.081 9774.42166666667 1231.88233333333 1472.54766666667 2034.557 2017.558
9800.983 2437.80933333333 6993.36033333333 8046.28733333334 7527.99466666667 4139.655 13555.2033333333 72367.417 4823.39933333333 3274.03533333333 7745.056 8641.02933333333 1517.633 1851.32033333333 2592.55033333333 2609.32833333333
8566.449 3907.61 6951.75233333333 8116.03866666667 6119.342 6218.35966666667 14573.8486666667 228141.549666667 3590.85766666667 4266.71633333333 6413.30433333333 6860.11166666667 1974.80133333333 2666.684 3380.49466666667 3456.59
9014.76666666668 2676.86133333333 7279.27666666667 7662.76533333332 6983.87666666666 4586.742 16231.9003333333 160571.781 4393.86966666667 2071.449 7795.19233333333 8476.349 1428.467 1841.36766666667 2380.74066666667 2428.24966666667
9107.273 3348.727 6186.124 7514.826 7291.77800000002 5859.10733333333 13171.946 326463.068666667 4380.43266666667 4409.307 6940.623 8319.44733333333 2323.13633333333 2815.37866666667 3624.127 3864.088
9430.15166666668 3310.11533333333 7332.60166666667 7654.09133333332 7686.59666666665 3045.42433333333 19746.048 122355.831 4507.74033333333 4277.59466666667 8026.856 8018.809 1810.06133333333 2510.84566666667 1870.43433333333 3011.09966666667
11091.8873333333 3130.34666666667 4777.743 6054.223 52461.6216666667 6501.26666666667 13919.76 146549.151666667 45809.6333333333 3360.90833333333 13212.04 50371.0183333333 2277.75766666667 2624.03833333333 3063.857 3387.877
8786.28100000002 2753.721 3335.07 4951.71799999999 145925.940333333 6047.64866666667 8262.96466666667 262988.046333333 128628.870333333 6058.669 8252.817 144550.843666667 3379.40833333333 3123.67133333333 3613.52833333333 4414.342
7864.01366666666 2138.387 3024.28066666667 4290.64866666668 87659.523 4219.527 7615.468 112289.282 98053.6173333333 4354.30433333333 7626.18333333333 86590.195 2177.646 2090.11166666667 2626.958 3090.74933333333
9312.87233333333 2691.683 3508.16066666667 4965.46400000002 127658.211333333 5502.56466666667 8580.895 180367.229 121406.102333333 5513.94733333333 8405.27733333333 126778.173 2920.614 2850.705 3362.307 4210.154
8746.76166666663 2407.61966666667 3346.77533333333 4896.67333333335 122084.951666667 5238.635 8846.19933333333 137102.514 118871.915 5025.94966666667 8666.19733333333 120521.638 2498.67166666667 2524.21566666667 2966.808 3431.23466666667
8708.99400000002 2956.21833333333 3317.926 4474.61166666662 114138.165666667 6362.95533333333 8619.42766666667 181658.551333333 103804.968333333 3443.915 8235.68533333333 114737.831333333 2686.772 2922.61133333333 3209.161 3812.83566666667
10403.8630000000 2529.52966666667 4194.65466666667 5652.25266666665 95026.4066666667 5074.91733333333 11528.1546666667 150269.921333333 85068.8053333333 4820.99166666667 11054.634 92266.869 2144.225 2270.29133333333 2812.06666666667 3136.667
13131.53 1805.40466666667 5432.98233333333 6803.703 34711.0146666667 3208.93766666667 12072.695 32713.6926666667 128188.740666667 3284.852 12649.864 34591.0433333333 1831.21466666667 1758.86566666667 673.918666666667 2807.381
10703.783 1725.24733333333 7881.56266666667 8335.017 7364.1 2845.498 15213.0816666667 16766.6203333333 4830.33033333333 2569.942 8257.58866666667 8926.309 780.656666666666 1031.67966666667 1322.747 1355.46866666667
9853.32333333334 1827.687 7783.22866666667 7562.311 8236.616 3155.416 20052.9056666667 16776.7423333333 5132.368 2693.424 8662.13633333333 8531.83166666667 842.602666666666 1059.254 1390.82933333333 1408.812
10576.6043333333 1840.624 7718.612 8146.05966666667 7499.00666666666 3091.65733333333 14665.85 16884.256 4960.94733333334 2771.883 8279.686 8851.97366666667 888.641666666666 682.337666666667 1476.062 1494.88166666667
8349.133 6151.37033333334 5562.44533333333 6875.83133333333 6341.05666666667 13845.1436666667 11955.639 18131.4206666667 5626.929 11377.8036666667 9652.28433333333 13130.423 2684.17133333333 4385.80233333333 4240.30133333333 4621.855
10229.7216666667 2131.82266666667 7250.996 7964.25966666667 7885.72966666667 3498.22433333333 14976.0046666667 18924.1513333333 4915.03166666667 2984.216 8146.04566666667 8767.13666666667 836.157 1122.016 1387.88366666667 1410.36733333333
8307.19066666666 1661.945 7888.56166666667 8093.89266666667 5784.98766666667 2714.17633333333 13926.6636666667 14909.5623333333 3561.24433333333 2325.72933333333 6469.266 6880.09033333333 755.747333333333 705.159333333333 1298.77866666667 1265.40266666667
10310.518 1845.67233333333 7419.75466666667 8083.535 7561.39233333333 3053.729 14567.8996666667 18815.469 5005.87666666667 2717.10366666667 8083.83233333333 8773.09733333333 805.763 1082.051 1398.06333333333 1414.19666666667
9158.81 1506.15833333333 5731.08633333333 6411.70533333333 7875.303 2694.70566666667 13119.8586666667 19026.7626666667 5031.515 2415.71 8030.455 8294.92 844.262 1030.955 1347.92 1373.584
10705.5676666667 1881.60066666667 7982.19566666667 8125.506 7444.04666666667 3107.254 14686.153 15698.8363333333 5088.54066666667 2288.03966666667 8677.35166666667 8937.588 796.745 1002.45266666667 1274.06966666667 1269.70866666667
10779.3356666667 3494.90966666667 8937.18833333333 7250.02633333333 8671.87866666667 6133.046 60105.686 14412.8893333333 6866.121 2992.95333333333 14047.69 11379.3856666667 758.574666666666 1158.781 1304.66566666667 1269.50866666667
7543.61733333334 5523.499 6104.67433333334 6032.82933333332 6506.67533333332 14635.958 101611.242666667 17328.924 4640.278 8717.608 9667.44933333333 9340.00466666667 757.949333333334 1248.335 1296.93366666667 1284.833
4078.724 3256.04566666667 3964.977 3899.01333333334 3192.66633333333 6955.196 78115.7046666667 22563.933 2436.85433333333 4639.21833333333 6247.11533333333 6154.132 693.475333333333 1149.65 1223.243 1188.59466666667
4433.77233333334 3567.252 4604.85333333333 4643.63233333332 3383.94900000000 7513.98933333333 62887.5923333333 20708.0593333333 2639.80733333333 5034.412 6835.81266666667 6766.838 704.071333333333 1167.26666666667 1238.83166666667 1229.28833333333
